
 LIST ALL SELECTED NODES.   DSYS=      0
 SORT TABLE ON  NODE  NODE  NODE

   NODE        X                   Y                   Z
        1   -16.4644660941        -40.3553390593         26.4644660941     
        2   -23.5355339059        -30.3553390593         33.5355339059     
        3   -17.9289321876        -35.3553390600         32.0710678114     
        4    5.00000000000        -10.0000000000         5.00000000000     
        5   -9.30964406271        -30.2368927062         19.3096440627     
        6   -2.15482203136        -20.1184463531         12.1548220314     
        7   -2.07106781186         0.00000000000         12.0710678119     
        8    2.07106779995        -7.07106779501         12.0710678238     
        9   -16.3807118746        -20.2368927062         26.3807118746     
       10   -9.22588984322        -10.1184463531         19.2258898432     
       11   -4.59559891479        -16.4991581404         18.7377345385     
       12   -11.2622655361        -25.9272486204         25.4044011598     
       13   -12.0710678119       -0.710542735760E-014    2.07106781186     
       14   -10.0000000169       -0.122451353050E-014    9.99999998315     
       15   -33.5355339059        -30.3553390593         23.5355339059     
       16   -26.3807118746        -20.2368927062         16.3807118746     
       17   -19.2258898432        -10.1184463531         9.22588984322     
       18   -29.9999999988        -28.2842712475         30.0000000012     
       19   -23.3333333328        -18.8561808304         23.3333333321     
       20   -16.6666666280        -9.42809041458         16.6666667036     

   NODE        X                   Y                   Z
       21   -26.4644660941        -40.3553390593         16.4644660941     
       22   -32.0710678124        -35.3553390586         17.9289321886     
       23   -5.00000000000        -10.0000000000        -5.00000000000     
       24   -12.0710678238        -7.07106779501        -2.07106779995     
       25   -19.3096440627        -30.2368927062         9.30964406271     
       26   -12.1548220314        -20.1184463531         2.15482203136     
       27   -18.7377344328        -16.4991582902         4.59559880904     
       28   -25.4044011368        -25.9272486531         11.2622655131     
       29  -0.168512238802E-007   -14.1421356237       -0.168512126941E-007
       30   -20.0000000012        -42.4264068712         19.9999999988     
       31   -13.3333333437        -32.9983164543         13.3333333214     
       32   -6.66666672645        -23.5702260385         6.66666660538     
       33    23.5355339059         30.3553390593        -33.5355339059     
       34    33.5355339059         30.3553390593        -23.5355339059     
       35    29.9999999988         28.2842712475        -30.0000000012     
       36    12.0710678119       -0.710542735760E-014   -2.07106781186     
       37    26.3807118746         20.2368927062        -16.3807118746     
       38    19.2258898432         10.1184463531        -9.22588984322     
       39    2.07106781186       -0.532907051820E-014   -12.0710678119     
       40    10.0000000169       -0.606486161569E-014   -9.99999998315     

   NODE        X                   Y                   Z
       41    16.3807118746         20.2368927062        -26.3807118746     
       42    9.22588984322         10.1184463531        -19.2258898432     
       43    16.6666666318         9.42809041456        -16.6666666998     
       44    23.3333333347         18.8561808304        -23.3333333302     
       45    16.4644660941         40.3553390593        -26.4644660941     
       46    17.9289321876         35.3553390600        -32.0710678114     
       47   -5.00000000000         10.0000000000        -5.00000000000     
       48   -2.07106782378         7.07106782872        -12.0710678000     
       49    9.30964406271         30.2368927062        -19.3096440627     
       50    2.15482203136         20.1184463531        -12.1548220314     
       51    4.59559889631         16.4991581668        -18.7377345200     
       52    11.2622655269         25.9272486336        -25.4044011507     
       53    26.4644660941         40.3553390593        -16.4644660941     
       54    20.0000000012         42.4264068712        -19.9999999988     
       55    5.00000000000         10.0000000000         5.00000000000     
       56   0.168512172466E-007    14.1421356237        0.168512214089E-007
       57    19.3096440627         30.2368927062        -9.30964406271     
       58    12.1548220314         20.1184463531        -2.15482203136     
       59    6.66666672262         23.5702260385        -6.66666660922     
       60    13.3333333418         32.9983164543        -13.3333333234     

   NODE        X                   Y                   Z
       61    32.0710678124         35.3553390586        -17.9289321886     
