
 LIST ALL SELECTED NODES.   DSYS=      0
 SORT TABLE ON  NODE  NODE  NODE

   NODE        X                   Y                   Z
        1   -15.0000000000        0.183697019872E-014    15.0000000000     
        2   -10.6066017178         10.6066017178         10.6066017178     
        3   -13.7280836612         6.04480926023         13.7280836612     
        4   -15.0000000000         15.0000000000        0.367394039744E-014
        5   -13.7280836608         13.7280836608         6.04480926111     
        6   -15.0000000000         10.6066017218         10.6066017138     
        7   -14.1520556325         10.6066017190         10.6066017166     
        9   -15.0000000000        -15.0000000000        0.367394039744E-014
       12   -15.0000000000        -10.6066017218         10.6066017138     
       14   -15.0000000000        0.183697019872E-014    50.0000000000     
       15  -0.177635683940E-014   -15.0000000000         50.0000000000     
       16   -10.6066017189        -10.6066017167         50.0000000000     
       17   -15.0000000000        0.183697019872E-014    38.3333333333     
       18   -15.0000000000        0.183697019872E-014    26.6666666667     
       19  -0.208113148981E-014   -15.0000000000         15.0000000000     
       20   -10.6066017218        -10.6066017138         15.0000000000     
       21  -0.197953993968E-014   -15.0000000000         26.6666666667     
       22  -0.187794838954E-014   -15.0000000000         38.3333333333     
       23   -10.6066017208        -10.6066017148         26.6666666667     
       24   -10.6066017198        -10.6066017157         38.3333333333     

   NODE        X                   Y                   Z
       25    15.0000000000         0.00000000000         50.0000000000     
       26    15.0000000000         0.00000000000         15.0000000000     
       27    15.0000000000         0.00000000000         38.3333333333     
       28    15.0000000000         0.00000000000         26.6666666667     
       29    10.6066017160        -10.6066017195         50.0000000000     
       30    10.6066017218        -10.6066017138         15.0000000000     
       31    10.6066017180        -10.6066017176         38.3333333333     
       32    10.6066017198        -10.6066017157         26.6666666667     
       33  -0.260141436227E-014   -15.0000000000        -15.0000000000     
       34   -10.6066017178        -10.6066017178        -10.6066017178     
       35   -6.04480926089        -13.7280836609        -13.7280836609     
       36   -15.0000000000        0.183697019872E-014   -15.0000000000     
       37   -13.7280836612        -6.04480926023        -13.7280836612     
       38   -10.6066017218        -10.6066017138        -15.0000000000     
       39   -10.6066017194        -10.6066017162        -14.1520556325     
       40    15.0000000000         0.00000000000        -15.0000000000     
       41    10.6066017178        -10.6066017178        -10.6066017178     
       42    13.7280836612        -6.04480926023        -13.7280836612     
       43    6.04480926089        -13.7280836609        -13.7280836609     
       44    10.6066017218        -10.6066017138        -15.0000000000     

   NODE        X                   Y                   Z
       45    10.6066017194        -10.6066017162        -14.1520556325     
       46    0.00000000000         15.0000000000        -15.0000000000     
       47    10.6066017178         10.6066017178        -10.6066017178     
       48    6.04480926089         13.7280836609        -13.7280836609     
       49    13.7280836612         6.04480926023        -13.7280836612     
       50    10.6066017218         10.6066017138        -15.0000000000     
       51    10.6066017194         10.6066017162        -14.1520556325     
       52   -10.6066017178         10.6066017178        -10.6066017178     
       53   -13.7280836612         6.04480926023        -13.7280836612     
       54   -6.04480926089         13.7280836609        -13.7280836609     
       55   -10.6066017218         10.6066017138        -15.0000000000     
       56   -10.6066017194         10.6066017162        -14.1520556325     
       57    10.6066017178        -10.6066017178         10.6066017178     
       58    15.0000000000        -15.0000000000       -0.183697019872E-014
       59    13.7280836608        -13.7280836608         6.04480926111     
       60    6.04480926089        -13.7280836609         13.7280836609     
       61    10.6066017218        -15.0000000000         10.6066017138     
       62    10.6066017191        -14.1520556324         10.6066017165     
       64   -10.6066017218        -15.0000000000         10.6066017138     
       66   -13.7280836608        -13.7280836608        -6.04480926111     

   NODE        X                   Y                   Z
       67   -10.6066017218        -15.0000000000        -10.6066017138     
