
 LIST ALL SELECTED NODES.   DSYS=      0
 SORT TABLE ON  NODE  NODE  NODE

   NODE        X                   Y                   Z
        1   -16.4644660941        -40.3553390593         26.4644660941     
        2   -23.5355339059        -30.3553390593         33.5355339059     
        3   -17.9289321876        -35.3553390600         32.0710678114     
        4    5.00000000000        -10.0000000000         5.00000000000     
        5   -9.30964406271        -30.2368927062         19.3096440627     
        6   -2.15482203136        -20.1184463531         12.1548220314     
        7   -2.07106781186         0.00000000000         12.0710678119     
        8    2.07106779995        -7.07106779501         12.0710678238     
        9   -16.3807118746        -20.2368927062         26.3807118746     
       10   -9.22588984322        -10.1184463531         19.2258898432     
       11   -4.59559891479        -16.4991581404         18.7377345385     
       12   -11.2622655361        -25.9272486204         25.4044011598     
       13   -12.0710678119       -0.710542735760E-014    2.07106781186     
       14   -10.0000000169       -0.122451353050E-014    9.99999998315     
       15   -33.5355339059        -30.3553390593         23.5355339059     
       16   -26.3807118746        -20.2368927062         16.3807118746     
       17   -19.2258898432        -10.1184463531         9.22588984322     
       18   -29.9999999988        -28.2842712475         30.0000000012     
       19   -23.3333333328        -18.8561808304         23.3333333321     
       20   -16.6666666280        -9.42809041458         16.6666667036     

   NODE        X                   Y                   Z
       21   -26.4644660941        -40.3553390593         16.4644660941     
       22   -32.0710678124        -35.3553390586         17.9289321886     
       23   -5.00000000000        -10.0000000000        -5.00000000000     
       24   -12.0710678238        -7.07106779501        -2.07106779995     
       25   -19.3096440627        -30.2368927062         9.30964406271     
       26   -12.1548220314        -20.1184463531         2.15482203136     
       27   -18.7377344328        -16.4991582902         4.59559880904     
       28   -25.4044011368        -25.9272486531         11.2622655131     
       29  -0.168512238802E-007   -14.1421356237       -0.168512126941E-007
       30   -20.0000000012        -42.4264068712         19.9999999988     
       31   -13.3333333437        -32.9983164543         13.3333333214     
       32   -6.66666672645        -23.5702260385         6.66666660538     
       33   -42.4264068712        0.621724893790E-014   -28.2842712475     
       34   -35.3553390593        -10.0000000000        -35.3553390593     
       35   -40.3553390602        -7.07106781070        -30.3553390585     
       36   -25.2368927062        -10.0000000000        -25.2368927062     
       37   -15.1184463531        -10.0000000000        -15.1184463531     
       38   -32.3079605181        0.177635683940E-014   -18.1658248943     
       39   -22.1895141650       -0.266453525910E-014   -8.04737854124     
       40   -21.4991582667        -7.07106775517        -11.4991581865     

   NODE        X                   Y                   Z
       41   -30.9272486490        -7.07106780264        -20.9272486359     
       42   -35.3553390593         10.0000000000        -35.3553390593     
       43   -40.3553390588         7.07106781258        -30.3553390598     
       44   -5.00000000000         10.0000000000        -5.00000000000     
       45   -12.0710678238         7.07106779501        -2.07106779995     
       46   -25.2368927062         10.0000000000        -25.2368927062     
       47   -15.1184463531         10.0000000000        -15.1184463531     
       48   -21.4991582683         7.07106775276        -11.4991581847     
       49   -30.9272486482         7.07106780344        -20.9272486363     
       50   -28.2842712475       -0.532907051820E-014   -42.4264068712     
       51   -30.3553390585         7.07106781070        -40.3553390602     
       52    2.07106781186       -0.532907051820E-014   -12.0710678119     
       53   -2.07106782378         7.07106782872        -12.0710678000     
       54   -18.1658248943       -0.532907051820E-014   -32.3079605181     
       55   -8.04737854124       -0.532907051820E-014   -22.1895141650     
       56   -11.4991582024         7.07106777785        -21.4991582505     
       57   -20.9272486438         7.07106781408        -30.9272486407     
       58   -30.3553390598        -7.07106781258        -40.3553390588     
       59   -2.07106782378        -7.07106782872        -12.0710678000     
       60   -11.4991582006        -7.07106777519        -21.4991582525     

   NODE        X                   Y                   Z
       61   -20.9272486443        -7.07106781460        -30.9272486405     
       62    26.4644660941        -40.3553390593        -16.4644660941     
       63    16.4644660941        -40.3553390593        -26.4644660941     
       64    20.0000000007        -42.4264068712        -19.9999999993     
       65    19.3096440627        -30.2368927062        -9.30964406271     
       66    12.1548220314        -20.1184463531        -2.15482203136     
       67    9.30964406271        -30.2368927062        -19.3096440627     
       68    2.15482203136        -20.1184463531        -12.1548220314     
       69    6.66666657976        -23.5702260383        -6.66666675186     
       70    13.3333333106        -32.9983164542        -13.3333333544     
       71    23.5355339059        -30.3553390593        -33.5355339059     
       72    16.3807118746        -20.2368927062        -26.3807118746     
       73    9.22588984322        -10.1184463531        -19.2258898432     
       74    17.9289321873        -35.3553390605        -32.0710678110     
       75    11.2622655047        -25.9272486651        -25.4044011284     
       76    4.59559879492        -16.4991583103        -18.7377344186     
       77    33.5355339059        -30.3553390593        -23.5355339059     
       78    29.9999999993        -28.2842712475        -30.0000000007     
       79    12.0710678119       -0.710542735760E-014   -2.07106781186     
       80    10.0000000169       -0.606486161569E-014   -9.99999998315     

   NODE        X                   Y                   Z
       81    26.3807118746        -20.2368927062        -16.3807118746     
       82    19.2258898432        -10.1184463531        -9.22588984322     
       83    16.6666667519        -9.42809041461        -16.6666665798     
       84    23.3333333544        -18.8561808304        -23.3333333106     
       85    32.0710678127        -35.3553390582        -17.9289321890     
       86    12.0710678238        -7.07106779501         2.07106779995     
       87    25.4044011605        -25.9272486198        -11.2622655368     
       88    18.7377345369        -16.4991581430        -4.59559891320     

